2	100000	2	100000
3	150000	5	250000
6	300000	11	550000
12	600000	20	1000000
21	1050000	25	1250000
26	1300000	29	1450000
30	1500000	37	1850000
38	1900000	49	2450000
50	2500000	53	2650000
54	2700000	59	2950000
60	3000000	65	3250000
66	3300000	68	3400000
69	3450000	103	5150000
104	5200000	112	5600000
113	5650000	120	6000000
121	6050000	129	6450000
130	6500000	138	6900000
139	6950000	142	7100000
143	7150000	147	7350000
148	7400000	151	7550000
152	7600000	158	7900000
159	7950000	166	8300000
167	8350000	173	8650000
174	8700000	182	9100000
183	9150000	192	9600000
193	9650000	196	9800000
197	9850000	197	9850000
198	9900000	202	10100000
203	10150000	207	10350000
208	10400000	208	10400000
209	10450000	217	10850000
218	10900000	224	11200000
225	11250000	232	11600000
233	11650000	251	12550000
252	12600000	259	12950000
260	13000000	261	13050000
262	13100000	265	13250000
266	13300000	274	13700000
275	13750000	277	13850000
278	13900000	282	14100000
283	14150000	283	14150000
284	14200000	288	14400000
289	14450000	291	14550000
292	14600000	294	14700000
295	14750000	301	15050000
302	15100000	305	15250000
306	15300000	312	15600000
313	15650000	321	16050000
322	16100000	324	16200000
325	16250000	329	16450000
330	16500000	333	16650000
334	16700000	341	17050000
342	17100000	345	17250000
346	17300000	350	17500000
351	17550000	358	17900000
359	17950000	369	18450000
370	18500000	380	19000000
381	19050000	389	19450000
390	19500000	390	19500000
391	19550000	393	19650000
394	19700000	411	20550000
412	20600000	483	24150000
551	27550000	559	27950000
560	28000000	592	29600000
593	29650000	601	30050000
602	30100000	615	30750000
616	30800000	645	32250000
646	32300000	652	32600000
653	32650000	662	33100000
663	33150000	669	33450000
670	33500000	683	34150000
684	34200000	690	34500000
691	34550000	699	34950000
700	35000000	706	35300000
707	35350000	710	35500000
711	35550000	713	35650000
714	35700000	724	36200000
725	36250000	737	36850000
738	36900000	757	37850000
758	37900000	759	37950000
760	38000000	766	38300000
767	38350000	768	38400000
769	38450000	779	38950000
780	39000000	790	39500000
791	39550000	792	39600000
793	39650000	795	39750000
796	39800000	799	39950000
800	40000000	806	40300000
807	40350000	813	40650000
814	40700000	817	40850000
818	40900000	825	41250000
826	41300000	830	41500000
831	41550000	838	41900000
839	41950000	841	42050000
842	42100000	848	42400000
849	42450000	850	42500000
851	42550000	852	42600000
853	42650000	867	43350000
868	43400000	868	43400000
869	43450000	876	43800000
877	43850000	891	44550000
892	44600000	893	44650000
894	44700000	899	44950000
900	45000000	908	45400000
909	45450000	914	45700000
915	45750000	920	46000000
921	46050000	927	46350000
928	46400000	932	46600000
933	46650000	937	46850000
938	46900000	945	47250000
946	47300000	947	47350000
948	47400000	955	47750000
956	47800000	958	47900000
959	47950000	966	48300000
967	48350000	973	48650000
974	48700000	980	49000000
981	49050000	984	49200000
985	49250000	1007	50350000
1008	50400000	1010	50500000
1011	50550000	1023	51150000
1024	51200000	1027	51350000
1028	51400000	1034	51700000
1035	51750000	1045	52250000
1046	52300000	1060	53000000
1061	53050000	1082	54100000
1083	54150000	1089	54450000
1090	54500000	1094	54700000
1095	54750000	1102	55100000
1103	55150000	1110	55500000
1111	55550000	1113	55650000
1114	55700000	1121	56050000
1122	56100000	1127	56350000
1128	56400000	1143	57150000
1144	57200000	1148	57400000
1149	57450000	1158	57900000
1159	57950000	1165	58250000
1166	58300000	1172	58600000
