392	19600000	393	19650000
418	20900000	419	20950000
431	21550000	432	21600000
446	22300000	447	22350000
455	22750000	456	22800000
467	23350000	468	23400000
478	23900000	479	23950000
508	25400000	509	25450000
522	26100000	523	26150000
538	26900000	539	26950000
546	27300000	547	27350000
560	28000000	561	28050000
576	28800000	577	28850000
588	29400000	589	29450000
602	30100000	603	30150000
623	31150000	624	31200000
635	31750000	636	31800000
717	35850000	718	35900000
741	37050000	742	37100000
779	38950000	780	39000000
793	39650000	794	39700000
814	40700000	815	40750000
844	42200000	845	42250000
877	43850000	878	43900000
889	44450000	890	44500000
899	44950000	900	45000000
907	45350000	908	45400000
928	46400000	929	46450000
935	46750000	936	46800000
960	48000000	961	48050000
977	48850000	978	48900000
998	49900000	999	49950000
1021	51050000	1022	51100000
1036	51800000	1037	51850000
1050	52500000	1051	52550000
1064	53200000	1065	53250000
1209	60450000	1210	60500000
1241	62050000	1242	62100000
1313	65650000	1314	65700000
1346	67300000	1347	67350000
1389	69450000	1390	69500000
1453	72650000	1454	72700000
1474	73700000	1475	73750000
1505	75250000	1506	75300000
1539	76950000	1540	77000000
1563	78150000	1564	78200000
1592	79600000	1593	79650000
1620	81000000	1621	81050000
1696	84800000	1697	84850000
1717	85850000	1718	85900000
1820	91000000	1821	91050000
1901	95050000	1902	95100000
1909	95450000	1910	95500000
1940	97000000	1941	97050000
1956	97800000	1957	97850000
1974	98700000	1975	98750000
2011	100550000	2012	100600000
2050	102500000	2051	102550000
2057	102850000	2058	102900000
2094	104700000	2095	104750000
2143	107150000	2144	107200000
2163	108150000	2164	108200000
2178	108900000	2179	108950000
2203	110150000	2204	110200000
2227	111350000	2228	111400000
2249	112450000	2250	112500000
2258	112900000	2259	112950000
